[90]	0
[91]	1
[92]	2
[95]	3
[96]	4
[97]	5
[98]	6
[99]	7
[5, 24]	8
[4, 23]	9
[3, 22]	10
[11, 16]	11
[2, 21]	12
[10, 15]	13
[1, 20]	14
[9, 14]	15
[8, 13]	16
[7, 12]	12
[6, 29]	18
[0, 28]	19
[[[[[[19], [33]], [27]], [26]], [25]], [18], 17]	20
[38, 56]	21
[37, 55]	22
[36, 54]	23
[35, 53]	24
[34, 52]	6
[32, 51]	26
[31, 50]	27
[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[30], [49]], [48]], [47]], [46]], [45]], [44]], [43]], [42]], [41]], [40]], [39]], [89]], [88]], [87]], [86]], [85]], [84]], [83]], [82]], [81]], [80]], [79]], [78]], [77]], [76]], [75]], [74]], [73]], [72]], [71]], [70]], [69]], [68]], [67]], [66]], [65]], [64]], [63]], [62]], [61]], [60]], [59]], [58], 57]	28
[93, 94]	29
