user_screen_name	friend_id	friend_screen_name	friends_#followers	friends_#followings	friends_#statuses
BorisJohnson	2150777605	SimonManleyFCO	4661	743	6208
BorisJohnson	1851752635	PeterWilson	3481	600	2777
BorisJohnson	2611886066	UKinUkraine	5355	355	2515
BorisJohnson	3533910381	JudithGoughFCO	2555	288	997
BorisJohnson	108667698	UKinItaly	9178	4823	17522
BorisJohnson	743734321303846912	JillMorrisFCO	1039	150	154
BorisJohnson	15243853	Kristian_Jensen	29057	872	8346
BorisJohnson	1357130180	MiroslavLajcak	13256	719	3024
BorisJohnson	46623193	sebastiankurz	145780	855	3052
BorisJohnson	114704539	AlanDuncanMP	11021	64	336
BorisJohnson	482866177	Tobias_Ellwood	11490	352	1680
BorisJohnson	2800159736	JoyceAnelay	5703	478	1551
BorisJohnson	1731554581	AlokSharma_RDG	4910	489	2502
BorisJohnson	69269105	UKNATO	16983	1290	4460
BorisJohnson	4216760609	KoblerSRSG	43917	282	2343
BorisJohnson	307221778	PeterMillett1	22950	168	8135
BorisJohnson	3396871601	UKagainstDaesh	18727	346	4950
BorisJohnson	163984564	garethbayley	5018	341	2972
BorisJohnson	406869976	PaoloGentiloni	96299	545	5468
BorisJohnson	453030125	GermanyDiplo	92732	537	9932
BorisJohnson	28332028	jeanmarcayrault	220337	713	3659
BorisJohnson	145746533	UKUN_NewYork	33732	1153	17912
BorisJohnson	9624742	StateDept	3182881	451	45953
BorisJohnson	15007149	JohnKerry	1993341	542	2159
BorisJohnson	14159148	UN	7738882	1122	51192
BorisJohnson	143478208	cabinetofficeuk	312180	292	6202
BorisJohnson	4785764884	GCHQ	37897	178	338
BorisJohnson	4890631533	AntoniaRomeoUK	2180	374	646
BorisJohnson	460163041	FedericaMog	267229	7485	6290
BorisJohnson	67858711	FabianPicardo	15477	2554	5035
BorisJohnson	89856037	JulieBishopMP	199368	1470	8248
BorisJohnson	46310023	SimonWoodFCO	717	722	1394
BorisJohnson	463248390	CTurnerFCO	78075	256	5133
BorisJohnson	504899447	MatthewRycroft1	8716	697	2157
BorisJohnson	3285418908	KimDarroch	3450	122	359
BorisJohnson	3391699133	SMcDonaldFCO	7329	115	329
BorisJohnson	747807250819981312	theresa_may	171338	0	174
BorisJohnson	14224719	Number10gov	4730118	771	11158
BorisJohnson	14353202	foreignoffice	646878	29440	26606
BorisJohnson	3695647695	vote_leave	69948	485	7334
BorisJohnson	22159580	ZacGoldsmith	63437	738	10425
BorisJohnson	38142380	standardnews	413791	889	123002
BorisJohnson	2220031111	LDN_gov	22294	656	3262
BorisJohnson	103065157	David_Cameron	1605210	391	2504
BorisJohnson	14281853	Conservatives	222692	1631	12127
