user_screen_name	friend_id	friend_screen_name	friends_#followers	friends_#followings	friends_#statuses
David_Cameron	356885109	Messina2012	96056	437	1404
David_Cameron	4806808293	InFactsOrg	8745	545	3713
David_Cameron	17481977	GOVUK	1371876	1726	7154
David_Cameron	2363670413	nsoamesmp	21273	1437	8019
David_Cameron	3342929843	Open_Britain	54302	482	7731
David_Cameron	23243831	KateEMcCann	14943	1501	13896
David_Cameron	24444965	wdjstraw	31191	1674	11766
David_Cameron	116808837	lucycthomas	5102	1782	3045
David_Cameron	4818358553	ConservativesIN	4889	769	2993
David_Cameron	2623511044	BegumNadiya	118491	501	4316
David_Cameron	17137628	UN_Women	1002933	3301	38559
David_Cameron	3413569888	AFCO_Oxford	463	87	282
David_Cameron	915537378	RKWinvisibleman	4218	2688	49283
David_Cameron	18814998	fhollande	1751052	1565	4721
David_Cameron	3574875675	open_britpress	12223	1139	16828
David_Cameron	195037431	rbrharrison	5050	191	958
David_Cameron	343447873	marianorajoy	1279700	12195	18624
David_Cameron	14353202	foreignoffice	646831	29440	26604
David_Cameron	3131144855	BorisJohnson	253150	45	418
David_Cameron	3110800479	HeadUKCivServ	15131	1771	1859
David_Cameron	171404842	clarebalding	702575	515	63959
David_Cameron	130109576	SunPolitics	30454	458	23478
David_Cameron	249090055	rollsroycecars	590314	64	2214
David_Cameron	1487653230	bbcgetinspired	58275	692	29565
David_Cameron	834190800	MLK_quote	29755	34	68
David_Cameron	248653960	JLC_uk	7283	391	4379
David_Cameron	1020058453	BuzzFeedNews	558130	4903	84420
David_Cameron	34267043	alzheimerssoc	136759	821	27465
David_Cameron	492285158	ITVAllegra	49393	2956	2274
David_Cameron	16558943	politicshome	78426	1312	105997
David_Cameron	159454866	steverichards14	36639	1155	7979
David_Cameron	66673916	MattChorley	18672	1819	23030
David_Cameron	24758341	elashton	21618	1031	9170
David_Cameron	117428743	craigawoodhouse	13087	2471	17046
David_Cameron	1283122584	MyLittleSpartan	5231	1839	576
David_Cameron	2821193650	TheGardenBridge	2948	1070	1631
David_Cameron	36042554	RoyalFamily	2561457	477	23718
David_Cameron	218789670	KellyTolhurst	5185	1290	1353
David_Cameron	1426186200	anna_firth	1731	514	5235
David_Cameron	2499094898	wakeuptobreakup	3393	944	3627
David_Cameron	587397179	rafredarrows	110070	304	4421
David_Cameron	15007149	JohnKerry	1992857	542	2159
David_Cameron	205278393	EnglandRugby	706248	52083	30673
David_Cameron	50393960	BillGates	31322139	169	2157
David_Cameron	1339835893	HillaryClinton	9707239	758	8998
David_Cameron	14810076	YouGov	99337	304	8458
David_Cameron	19530134	EvanHD	433932	912	9842
David_Cameron	25704281	WillGav	3850	777	19097
David_Cameron	61183568	bbclaurak	535906	1258	21975
David_Cameron	47921172	DavidWooding	20021	981	17304
David_Cameron	8170292	BBCr4today	560810	13988	43780
