user_screen_name	friend_id	friend_screen_name	friends_#followers	friends_#followings	friends_#statuses
michaelgove	702148793488293888	queseragroup	422	1684	129
michaelgove	376180305	MorrisseyHelena	16455	1629	9265
michaelgove	3342929843	Open_Britain	54302	482	7731
michaelgove	3574875675	open_britpress	12223	1139	16828
michaelgove	3320886334	labourleave	15860	822	2457
michaelgove	3362016513	LeaveEUOfficial	104303	1836	9791
michaelgove	3899497877	EuroGuido	11165	31	2857
michaelgove	2779389582	SteveHiltonx	14631	1218	3429
michaelgove	125270251	GregHands	16293	2407	17157
michaelgove	108935576	geraldhowarth	6973	163	745
michaelgove	111013369	nickherbertmp	13567	277	3164
michaelgove	18096679	edvaizey	36091	1231	17766
michaelgove	2458402670	MrTCHarris	7569	744	22705
michaelgove	1477619106	NsNrs1	3920	3737	20673
michaelgove	52418188	JoeMurphyLondon	18822	848	6128
michaelgove	15249629	michaelsavage	19969	1871	16003
michaelgove	44579763	tobyhelm	19343	1790	3775
michaelgove	3377137053	PolhomeEditor	10901	601	6584
michaelgove	29943926	tfa4freedom	9547	4002	6484
michaelgove	234714469	Stephanie_Lis	2135	914	5447
michaelgove	24239414	MarkJLittlewood	9457	3055	19582
michaelgove	2205165174	ChrisLawSNP	8550	586	5070
michaelgove	257145200	roddreher	18788	147	9141
michaelgove	50446226	jonathanchait	88068	299	25526
michaelgove	546135718	DouthatNYT	88477	238	20200
michaelgove	22703645	TuckerCarlson	314023	97	1384
michaelgove	27744185	krauthammer	703719	1	347
michaelgove	112047805	brithume	585103	632	10371
michaelgove	18646108	BretBaier	825152	6616	43315
michaelgove	727472528	instapundit	70954	3802	580270
michaelgove	168531961	NoahCRothman	24259	1971	190136
michaelgove	15731751	FredBarnes	78698	11612	674
michaelgove	17546958	weeklystandard	192550	15814	42811
michaelgove	19417492	NRO	193971	1621	46228
michaelgove	53606937	jamestaranto	45460	161	39616
michaelgove	40116885	RichLowry	105602	554	16986
michaelgove	12612432	jpodhoretz	65462	1120	129701
michaelgove	599357202	Scruton_Quotes	9774	30	3363
michaelgove	30051204	B_HQ	2533	4997	6516
michaelgove	412978698	LOS_Fisher	11846	1408	4934
michaelgove	17006157	paulkrugman	1859549	7	7609
michaelgove	18622869	ezraklein	1269717	980	39384
michaelgove	2327654917	MrJohnNicolson	12794	432	14826
michaelgove	55253731	SamGyimah	14235	1370	5167
