user_id	user_screen_name	influence	credibility	n_rumors_propagated	n_rumors_stifled
53893339	Robert Davey	0.60471	0.421503	46	44
805411681	Liam Stevens	0.90977	0.249745	1	31
21707108	Heleny Campoy ??	0.064978	0.862119	4	43
772109849861709000	Euan Anderssonn	0.112141	0.500388	21	24
19935209	Stuart	0.373153	0.169968	46	19
749035609092681000	Remainer Jen	0.451249	0.056817	39	36
2507967332	Tipping Point Blog	0.080824	0.83061	43	19
461028441	Motostrelki	0.151898	0.13993	13	16
592877327	Alan	0.008336	0.566026	20	26
24568370	Hazel McDonald	0.781607	0.188325	24	46
304852634	Fish in a hat	0.41315	0.622471	35	26
2964126153	Laurien de Vos	0.242797	0.807133	31	41
168236934	Luke Peter Green	0.397285	0.014558	23	33
231390130	Trevor Warner	0.499301	0.750974	48	10
245870559	Arlene	0.084185	0.347033	47	9
78376458	Daniel Babich	0.170008	0.030794	30	44
775248889935003000	Bloodbino	0.950592	0.635423	11	3
77776648	#BlameBrexit	0.282613	0.012921	44	32
2565682773	Freddy Forsyth	0.289743	0.758185	47	18
21792625	Tabish Waseem	0.198834	0.49634	38	22
199199180	ElenaFG	0.033932	0.053892	6	29
22403241	RedGrouper	0.431877	0.254868	3	40
28153563	campbell s w	0.787798	0.237042	39	50
82622728	spooky sonz ?	0.775068	0.29263	29	5
11907672	Edward George	0.739195	0.39455	36	15
754718728131080000	Soupdragon	0.257251	0.104819	5	29
3127651429	Nicola Emma Kate 48%	0.494033	0.082582	13	47
290508519	Lavada Chim	0.031435	0.991952	15	2
512179012	Pelican-Store	0.281922	0.827271	31	11
154588808	Ugonna	0.278216	0.213168	33	22
3319487427	The Anglian Cloud	0.625047	0.414675	21	43
34875455	Ramon Morell	0.016964	0.197464	33	30
2327434344	Velvet Russell	0.915607	0.531661	16	41
524169249	Vascoo-UP	0.430316	0.086896	5	35
420721623	Plaid Cymru Penarth	0.869031	0.283537	27	37
19815467	Colin Salter	0.419518	0.12135	44	45
792115592	Fresh Technology	0.916101	0.348146	46	45
181571889	Karen C	0.588063	0.971402	45	36
16931365	Adrian Lovell	0.522463	0.689434	44	32
1498991760	Nigel Munisamy	0.441243	0.711611	33	28
297443753	Thus Spake	0.769124	0.24691	6	41
15567071	David Batty	0.888281	0.726358	32	19
2898190371	Babyface	0.397886	0.795771	17	48
34019215	The Echelon	0.64145	0.728616	21	7
7980812	John Mangan	0.278623	0.27948	8	26
4831603043	The Politic Manager	0.829636	0.504882	35	32
296367001	Sue Keen	0.317879	0.577215	17	40
53751306	Jennifer Johnston	0.648175	0.183699	10	8
2542751	Mark Wilson	0.298932	0.884283	43	41
597662810	Kevin Jones	0.984054	0.750102	29	38
136994692	Oliver Classen	0.557677	0.282889	25	18
4749348448	BB-3BE4	0.739633	0.567521	34	11
44849238	A C Grayling	0.524258	0.601084	32	38
3415756245	jmawApps	0.912838	0.655674	32	1
20043513	Lordy	0.897818	0.883154	26	1
30268894	Bacolod	0.522206	0.544681	33	37
88356128	Arsa Widitiarsa	0.147094	0.011536	20	18
101541188	Roy Grant	0.353023	0.075333	47	10
713514153873424000	Zesty Europe News	0.714565	0.805435	10	14
1232444600	Diana Tyson	0.535787	0.679788	3	40
17808276	Mr Dollingsworth	0.875636	0.778317	48	39
779581916248965000	Matteo L Vitali	0.691499	0.934868	42	13
2656977731	Christine	0.15314	0.058879	4	36
1266567530	@jaugernews	0.030794	0.465293	10	22
2809680389	Bob Sharpe	0.003914	0.706296	41	20
336558514	'Oor' Axel Foley	0.324699	0.170821	42	20
20750553	HocusPocus	0.500332	0.632796	34	32
21656055	The Week UK	0.928252	0.981253	27	3
2608969241	anders	0.32245	0.646875	49	40
51073715	Fazeen (DEAN)	0.966781	0.576928	22	50
913381237	Tony Simon	0.709576	0.832725	49	23
708076180658896000	Pyotra Goop	0.47627	0.006563	42	22
366315497	PEGGOTY HIL	0.358313	0.011619	27	49
80531023	JakBBCommunity	0.562746	0.983352	1	6
3072416481	citizen of nowhere	0.817661	0.96952	35	1
45691745	Stephen McNally	0.293006	0.961816	28	42
3064993119	. Niiyaaaaa ??	0.796937	0.111414	29	42
747144457741606000	peter tydale	0.988012	0.837831	46	50
1272747948	Pickles U Fat Get	0.978178	0.381792	10	40
479894296	Ben May	0.082365	0.859339	43	49
299615551	Bernadette S	0.388293	0.064451	10	25
241536196	Randy E King	0.694789	0.416658	20	40
164835982	Carbon Guerrilla	0.963153	0.018984	47	47
966442706	Wok Chi Steve	0.803597	0.231848	41	17
1000228238	adrian wooldridge	0.919995	0.008532	37	12
297286429	Eurotrash Lasance	0.380398	0.473972	43	40
111190844	ElectricCars.co.uk	0.34194	0.67535	25	5
2358457983	viv blake	0.012594	0.992063	2	40
2584296396	reclaimify test	0.84886	0.627753	3	18
790299553018834000	Stock Marlet News	0.624585	0.231054	4	9
351953561	OMEC	0.827834	0.729019	24	46
3439313938	Super Property	0.938711	0.513665	26	25
